,fee,names,ratings,repeat,response_time,review,services,title,boarding,sitting,daycare,checkups,walking,bathing,training,grooming,pickup/dropoff
173,32.0,Furry Cherubs Pet Sitting Service,0.0,0,1,0,2,"Phoenix, Arizona",0,1,0,1,0,0,0,0,0
174,30.0,K9 Services by Kim,5.0,0,1,1,4,"Phoenix, Arizona",1,1,1,1,0,0,0,0,0
175,35.0,Loving Trusted Dog Sitter,0.0,0,1,0,4,"Phoenix, Arizona",1,1,0,1,1,0,0,0,0
176,35.0,Lizzie's Doggie Daycare,0.0,0,1,0,4,"Phoenix, Arizona",1,1,1,1,0,0,0,0,0
177,35.0,Heidi's Pet Care,0.0,0,1,0,4,"Phoenix, Arizona",1,1,1,1,0,0,0,0,0
178,27.0,Jill and Cody's Puppy Paradise,5.0,0,1,1,3,"Phoenix, Arizona",1,0,1,0,1,0,0,0,0
179,40.0,Ruff Ruff Ranch,5.0,8,1,9,4,"Phoenix, Arizona",1,1,0,1,1,0,0,0,0
180,30.0,Haley's Haven,0.0,0,1,0,4,"Phoenix, Arizona",1,0,1,0,1,1,0,0,0
181,25.0,Sarah's Dog Boarding and Walking,0.0,0,1,0,4,"Phoenix, Arizona",1,1,1,1,0,0,0,0,0
182,25.0,PAW-tastic Puppy Vacay,5.0,2,1,39,4,"Phoenix, Arizona",1,1,1,1,0,0,0,0,0
183,26.0,Wiggle Waggle Home Away From Home,5.0,1,1,1,4,"Phoenix, Arizona",1,1,1,1,0,0,0,0,0
184,24.0,Peace of Mind Sitting,5.0,1,1,1,4,"Phoenix, Arizona",0,1,0,1,1,1,0,0,0
185,24.0,Christian's Dog House of Fun!,5.0,0,1,2,4,"Phoenix, Arizona",1,0,1,1,1,0,0,0,0
186,25.0,Becca's Doggy Boarding + MORE!,0.0,0,1,0,4,"Phoenix, Arizona",1,1,1,1,0,0,0,0,0
187,25.0,Dogs Are Just Big Babies(:,5.0,1,1,1,2,"Phoenix, Arizona",1,0,0,1,0,0,0,0,0
188,32.0,Tail Wagging Never Stops!,5.0,2,1,43,4,"Phoenix, Arizona",1,1,1,1,0,0,0,0,0
189,25.0,Cindy's pet palace,0.0,0,1,0,4,"Phoenix, Arizona",1,1,1,1,0,0,0,0,0
190,25.0,Fifi's Doggie daycare,0.0,0,1,0,2,"Phoenix, Arizona",1,0,1,0,0,0,0,0,0
191,40.0,Crazy Dog Lady,0.0,0,1,0,4,"Phoenix, Arizona",0,1,0,1,1,1,0,0,0
